municipio;distrito;tipo;caminho_relativo;url;motivo
Baião;Porto;OSM:gis_osm_places_a_free_1;data/Porto/Baião/OSM_gis_osm_places_a_free_1_Baião.zip;http://localhost:8000/data/Porto/Bai%C3%A3o/OSM_gis_osm_places_a_free_1_Bai%C3%A3o.zip;HTTP 404
Felgueiras;Porto;OSM:gis_osm_natural_a_free_1;data/Porto/Felgueiras/OSM_gis_osm_natural_a_free_1_Felgueiras.zip;http://localhost:8000/data/Porto/Felgueiras/OSM_gis_osm_natural_a_free_1_Felgueiras.zip;HTTP 404
Felgueiras;Porto;OSM:gis_osm_places_a_free_1;data/Porto/Felgueiras/OSM_gis_osm_places_a_free_1_Felgueiras.zip;http://localhost:8000/data/Porto/Felgueiras/OSM_gis_osm_places_a_free_1_Felgueiras.zip;HTTP 404
Lousada;Porto;OSM:gis_osm_natural_a_free_1;data/Porto/Lousada/OSM_gis_osm_natural_a_free_1_Lousada.zip;http://localhost:8000/data/Porto/Lousada/OSM_gis_osm_natural_a_free_1_Lousada.zip;HTTP 404
Lousada;Porto;OSM:gis_osm_places_a_free_1;data/Porto/Lousada/OSM_gis_osm_places_a_free_1_Lousada.zip;http://localhost:8000/data/Porto/Lousada/OSM_gis_osm_places_a_free_1_Lousada.zip;HTTP 404
Lousada;Porto;OSM:gis_osm_protected_areas_a_free_1;data/Porto/Lousada/OSM_gis_osm_protected_areas_a_free_1_Lousada.zip;http://localhost:8000/data/Porto/Lousada/OSM_gis_osm_protected_areas_a_free_1_Lousada.zip;HTTP 404
Maia;Porto;OSM:gis_osm_natural_a_free_1;data/Porto/Maia/OSM_gis_osm_natural_a_free_1_Maia.zip;http://localhost:8000/data/Porto/Maia/OSM_gis_osm_natural_a_free_1_Maia.zip;HTTP 404
Maia;Porto;OSM:gis_osm_protected_areas_a_free_1;data/Porto/Maia/OSM_gis_osm_protected_areas_a_free_1_Maia.zip;http://localhost:8000/data/Porto/Maia/OSM_gis_osm_protected_areas_a_free_1_Maia.zip;HTTP 404
Paços de Ferreira;Porto;OSM:gis_osm_natural_a_free_1;data/Porto/Paços_de_Ferreira/OSM_gis_osm_natural_a_free_1_Paços_de_Ferreira.zip;http://localhost:8000/data/Porto/Pa%C3%A7os_de_Ferreira/OSM_gis_osm_natural_a_free_1_Pa%C3%A7os_de_Ferreira.zip;HTTP 404
Paços de Ferreira;Porto;OSM:gis_osm_protected_areas_a_free_1;data/Porto/Paços_de_Ferreira/OSM_gis_osm_protected_areas_a_free_1_Paços_de_Ferreira.zip;http://localhost:8000/data/Porto/Pa%C3%A7os_de_Ferreira/OSM_gis_osm_protected_areas_a_free_1_Pa%C3%A7os_de_Ferreira.zip;HTTP 404
Paços de Ferreira;Porto;OSM:gis_osm_railways_free_1;data/Porto/Paços_de_Ferreira/OSM_gis_osm_railways_free_1_Paços_de_Ferreira.zip;http://localhost:8000/data/Porto/Pa%C3%A7os_de_Ferreira/OSM_gis_osm_railways_free_1_Pa%C3%A7os_de_Ferreira.zip;HTTP 404
